,Amazonas,Antioquia,Arauca,Atlántico,Bolívar,Boyacá,Caldas,Caquetá,Casanare,Cauca,Cesar,Chocó,Córdoba,Cundinamarca,Guainía,Guaviare,Huila,La Guajira,Magdalena,Meta,Nariño,Norte de Santander,Putumayo,Quindío,Risaralda,San Andrés y Providencia,Santander,Sucre,Tolima,Valle del Cauca,Vaupés,Vichada,Venezuela,The Filipines,Haiti,Argentina,Peru,Germany,Belgium,China,Italy,Ukraine,Spain,Mexico,Costa Rica,Honduras,Brazil,Peru,Guatemala,Panama,Ecuador,Bolivia,Chile,USA
Risaralda,0,0,S,0,0,0,P,0,0,0,0,0,0,0,0,0,P,0,0,0,"P, S",0,0,P,P,0,0,0,0,"P, S",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Andrés y Providencia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Santander,0,0,"P, S",0,0,0,P,0,0,0,0,0,0,0,0,0,"S, P",0,0,0,"P, S",0,0,P,P,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sucre,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P,P,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tolima,0,0,"P, S",0,0,0,P,0,0,0,0,0,0,0,0,0,"S,P",0,0,0,0,0,0,P,P,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valle del Cauca,0,S,"P, S",0,0,0,P,0,0,"P, S",0,0,0,0,0,0,"S, P",0,0,P,"S, P",0,0,P,P,0,0,0,P,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vaupés,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vichada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Venezuela,0,0,"M, P",0,0,0,0,0,"M, P",0,M,0,0,0,P,0,P,M,0,"P, M","P, M","M, P ",0,0,0,0,0,0,0,M,0,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Philipines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
