Año,Departamento,Producto,Area (ha),Produccion (ton),Rendimiento (ha/ton),Produccion Nacional (ton),Area Nacional (ha)
2022,CALDAS,PLATANO,"24,148.30","219,948.00",9.11,4.93,5.55
2022,CAQUETA,PLATANO,"15,942.00","94,668.00",5.94,2.12,3.67
2022,CASANARE,PLATANO,"2,983.00","31,272.76",10.48,0.70,0.69
2022,CAUCA,PLATANO,"12,416.02","113,013.25",9.10,2.53,2.86
2022,CESAR,PLATANO,"5,071.00","39,375.70",7.76,0.88,1.17
2022,CHOCO,PLATANO,"15,501.60","103,147.05",6.65,2.31,3.57
2022,CORDOBA,PLATANO,"29,720.00","306,475.40",10.31,6.87,6.84
2022,CUNDINAMARCA,PLATANO,"9,069.41","70,869.39",7.81,1.59,2.09
2022,GUAINIA,PLATANO,91.00,696.50,7.65,0.02,0.02
2022,GUAVIARE,PLATANO,"5,271.00","43,365.00",8.23,0.97,1.21
2022,HUILA,PLATANO,"30,075.60","192,257.20",6.39,4.31,6.92
2022,LA GUAJIRA,PLATANO,"2,356.50","13,644.00",5.79,0.31,0.54
2022,MAGDALENA,PLATANO,"3,919.60","30,035.53",7.66,0.67,0.90
2022,META,PLATANO,"26,486.47","494,832.97",18.68,11.09,6.09
2022,NARIÑO,PLATANO,"23,777.10","195,962.90",8.24,4.39,5.47
2022,NORTE DE SANTANDER,PLATANO,"10,198.00","73,973.30",7.25,1.66,2.35
2022,PUTUMAYO,PLATANO,"9,412.75","52,334.38",5.56,1.17,2.17
2022,QUINDIO,PLATANO,"26,563.00","259,797.92",9.78,5.82,6.11
2022,RISARALDA,PLATANO,"16,964.95","175,239.60",10.33,3.93,3.90
2022,SAN ANDRES Y PROVIDENCIA,PLATANO,6.00,72.72,12.12,0.00,0.00
2022,SANTANDER,PLATANO,"11,522.15","99,764.73",8.66,2.24,2.65
2022,SUCRE,PLATANO,"1,559.00","10,419.80",6.68,0.23,0.36
2022,TOLIMA,PLATANO,"22,051.50","166,081.40",7.53,3.72,5.07
2022,VALLE DEL CAUCA,PLATANO,"29,020.68","325,991.55",11.23,7.31,6.68
2022,VAUPES,PLATANO,323.80,936.00,2.89,0.02,0.07
2022,VICHADA,PLATANO,"2,400.75","16,789.50",6.99,0.38,0.55
