"Value","From","To","freq_unique"
"PC","Quindío","Quindío",0.6
"PN","Risaralda","Quindío",0.270588235294118
"PC","Risaralda","Quindío",0.270588235294118
"PN","Valle Del Cauca","Quindío",0.0705882352941176
"PC","Valle Del Cauca","Quindío",0.0705882352941176
"PN","Caldas","Risaralda",0.0571428571428571
"PC","Caldas","Risaralda",0.0571428571428571
"PN","Quindío","Risaralda",0.314285714285714
"PC","Quindío","Risaralda",0.314285714285714
"PN","Risaralda","Risaralda",0.571428571428571
"PC","Risaralda","Risaralda",0.571428571428571
"PN","Valle Del Cauca","Risaralda",0.0571428571428571
"PC","Valle Del Cauca","Risaralda",0.0571428571428571
"PN","Caldas","Valle Del Cauca",0.00909090909090909
"PC","Caldas","Valle Del Cauca",0.00909090909090909
"PN","Cauca","Valle Del Cauca",0.00681818181818182
"PC","Cauca","Valle Del Cauca",0.00681818181818182
"PN","Quindío","Valle Del Cauca",0.120454545454545
"PC","Quindío","Valle Del Cauca",0.120454545454545
"PN","Risaralda","Valle Del Cauca",0.0318181818181818
"PC","Risaralda","Valle Del Cauca",0.0318181818181818
"PN","Valle Del Cauca","Valle Del Cauca",0.831818181818182
"PC","Valle Del Cauca","Valle Del Cauca",0.831818181818182
